f1: 16.35, f2: 17.32, latency: None, f_detected: None, cents_error: None
f1: 5274.04, f2: 5587.65, latency: None, f_detected: None, cents_error: None
f1: 5587.65, f2: 5274.04, latency: None, f_detected: None, cents_error: None
f1: 5587.65, f2: 5919.91, latency: None, f_detected: None, cents_error: None
f1: 5919.91, f2: 5587.65, latency: None, f_detected: None, cents_error: None
f1: 5919.91, f2: 6271.93, latency: None, f_detected: None, cents_error: None
f1: 6271.93, f2: 5919.91, latency: None, f_detected: None, cents_error: None
f1: 6271.93, f2: 6644.88, latency: None, f_detected: None, cents_error: None
f1: 6644.88, f2: 6271.93, latency: None, f_detected: None, cents_error: None
f1: 6644.88, f2: 7040.0, latency: None, f_detected: None, cents_error: None
f1: 7040.0, f2: 6644.88, latency: None, f_detected: None, cents_error: None
f1: 7040.0, f2: 7458.62, latency: None, f_detected: None, cents_error: None
f1: 7458.62, f2: 7040.0, latency: None, f_detected: None, cents_error: None
f1: 7458.62, f2: 7902.13, latency: None, f_detected: None, cents_error: None
f1: 7902.13, f2: 7458.62, latency: None, f_detected: None, cents_error: None
